Pyranine in 10M Water w/ 70:30 mol% 1-butanol:acetonitrile,,
495.8200073,41.92266846,
495.9700012,42.45982742,
496.2600098,42.50461578,
496.4100037,41.50727463,
496.5599976,41.46974564,
496.7099915,41.77573013,
497.0100098,41.16601944,
497.1600037,40.88142776,
497.4599915,40.5316925,
497.6099854,41.10044861,
497.7600098,40.80008316,
498.0499878,40.38729858,
498.2000122,40.08259964,
498.3500061,40.38998032,
498.6499939,40.35268784,
498.7999878,40.10480118,
498.9500122,40.31157684,
499.25,40.19083786,
499.3999939,39.91595459,
499.5499878,39.51283646,
499.8500061,39.55013275,
500,39.02767944,
500.1400146,38.99962997,
500.4400024,39.15287781,
500.5899963,38.89722443,
500.7399902,38.30518341,
501.0400085,38.93177795,
501.1900024,38.71817017,
501.3399963,38.48297119,
501.6400146,38.2472229,
501.7900085,38.75154495,
501.9400024,38.4888649,
502.230011,38.00098801,
502.3800049,37.74530792,
502.5299988,37.91150284,
502.8299866,38.00784683,
502.980011,38.20004272,
503.1300049,37.33990479,
503.4299927,37.27147675,
503.5799866,37.70649338,
503.730011,37.21129608,
504.019989,37.2276001,
504.1700134,37.02452469,
504.3200073,36.89120102,
504.6199951,36.75932693,
504.769989,36.79724884,
505.0700073,36.60515976,
505.2200012,36.77554703,
505.3699951,36.71684647,
505.6700134,35.92639542,
505.8200073,36.2548027,
505.9700012,36.07487869,
506.2600098,36.15033722,
506.4100037,35.87722397,
506.5599976,35.6086235,
506.7099915,35.70587921,
507.0100098,35.30831528,
507.1600037,35.80809784,
507.4599915,35.61345673,
507.6099854,35.30466843,
507.7600098,35.46550751,
508.0499878,35.05823135,
508.2000122,35.25770569,
508.3500061,34.85943985,
508.6499939,34.52347183,
508.7999878,34.61957169,
508.9500122,34.63169479,
509.25,34.80751038,
509.3999939,34.44289398,
509.5499878,34.38430786,
509.8500061,33.69657135,
510,34.04017639,
510.1400146,34.24670029,
510.4400024,34.11317062,
510.5799866,33.79832458,
510.730011,33.7375145,
511.019989,33.99440384,
511.1700134,32.9761467,
511.4700012,33.99090195,
511.6099854,33.1303978,
511.7600098,32.80104446,
512.0499878,33.45584106,
512.2000122,33.25841904,
512.3499756,32.98395157,
512.6400146,32.56710815,
512.789978,32.86272812,
512.9400024,32.7068634,
513.2299805,32.26770782,
513.3800049,31.91744614,
513.5200195,32.09072495,
513.8200073,32.03425598,
513.9699707,31.81981277,
514.2600098,31.93389702,
514.4099731,31.79021263,
514.5499878,31.67390823,
514.8499756,31.26433945,
515,31.30698204,
515.1400146,31.42458916,
515.4400024,31.11180305,
515.5800171,31.04504967,
515.7299805,31.03283882,
516.0200195,30.68357849,
516.1699829,30.74335098,
516.4699707,30.29392815,
516.6099854,30.00627518,
516.7600098,30.32382584,
517.0499878,30.24670029,
517.2000122,29.94652557,
517.3499756,29.58330917,
517.6400146,29.68424797,
517.789978,29.35751152,
517.9400024,29.8316555,
518.2299805,29.37583351,
518.3800049,28.77906609,
518.5200195,28.90745544,
518.8200073,28.62119484,
518.9699707,28.9320488,
519.2600098,28.2119751,
519.4099731,28.32154465,
519.5499878,28.50625038,
519.8499756,28.09471512,
520,27.95462799,
520.1400146,28.1234951,
520.4400024,28.09121895,
520.5900269,27.89452171,
520.7399902,27.79781342,
521.039978,27.0767231,
521.1900024,27.09471512,
521.3400269,26.8495121,
521.6400146,26.96498299,
521.789978,26.44384575,
521.9400024,26.55452919,
522.2299805,26.31146431,
522.3800049,26.01032448,
522.5300293,26.3142128,
522.8300171,26.03902245,
522.9799805,25.96352768,
523.1300049,25.54498482,
523.4299927,25.58488464,
523.5800171,24.88044167,
523.7299805,25.242939,
524.0200195,25.05331421,
524.1699829,25.15869522,
524.3200073,25.13684654,
524.6199951,24.29856682,
524.7700195,24.49176788,
525.0700073,24.25324821,
525.2199707,23.87902451,
525.3699951,23.94822121,
525.5200195,23.91835022,
525.8200073,23.6036644,
525.9699707,23.5486412,
526.2600098,23.40007401,
526.4099731,23.16683197,
526.5599976,23.14443016,
526.710022,22.51462173,
527.0100098,22.82266235,
527.1599731,22.89810944,
527.460022,22.51714325,
527.6099854,22.79484558,
527.7600098,21.90321159,
528.0499878,22.16339684,
528.2000122,21.34589386,
528.3499756,21.8045311,
528.6500244,21.72255898,
528.7999878,21.2628994,
528.9500122,21.24569702,
529.25,21.03168488,
529.4000244,20.79846382,
529.5499878,20.63472939,
529.8499756,20.44069099,
530,20.60259628,
530.1400146,20.62539482,
530.4400024,20.08956337,
530.5800171,20.26246071,
530.7299805,20.05543137,
531.0200195,19.69731903,
531.1699829,19.63027954,
531.4699707,19.44360733,
531.6099854,19.24813271,
531.7600098,19.1987133,
532.0499878,18.85273743,
532.2000122,18.7376194,
532.3499756,18.79936981,
532.6400146,18.61621284,
532.789978,18.37112617,
532.9400024,18.1111927,
533.2299805,18.08527184,
533.3800049,18.17102814,
533.5200195,17.79353142,
533.8200073,17.81904793,
533.9699707,17.4264698,
534.2600098,17.36889839,
534.4099731,17.15377235,
534.5499878,17.28939056,
534.8499756,17.46492958,
535,16.42285919,
535.1400146,16.53419113,
535.4400024,16.69396019,
535.5800171,16.54307938,
535.7299805,16.53348732,
536.0200195,16.05020714,
536.1699829,16.32818794,
536.4699707,15.70877075,
536.6099854,15.81137276,
536.7600098,15.66413403,
537.0499878,15.47474098,
537.2000122,15.59460163,
537.3499756,15.24515152,
537.6400146,15.08501148,
537.789978,15.2302618,
537.9400024,14.86162663,
538.2299805,14.59039497,
538.3800049,15.11158848,
538.5200195,14.83207321,
538.8200073,14.72501278,
538.9699707,14.54312992,
539.2600098,14.02289772,
539.4099731,14.11830521,
539.5499878,14.3301096,
539.8499756,14.02258873,
540,13.79503345,
540.1400146,13.90034866,
540.4400024,13.45610714,
540.5800171,13.59114647,
540.7299805,13.45935249,
541.0200195,13.40283394,
541.1699829,12.94041538,
541.4699707,13.02283764,
541.6099854,13.02663708,
541.7600098,13.0982399,
542.0499878,12.70686245,
542.2000122,12.80988121,
542.3499756,12.56812191,
542.6400146,12.72185802,
542.789978,12.10607719,
542.9400024,12.38167667,
543.2299805,12.54435444,
543.3800049,11.93627644,
543.5200195,11.70299435,
543.8200073,11.98448849,
543.9699707,11.87357712,
544.2600098,11.68356991,
544.4099731,11.78900337,
544.5499878,11.58494663,
544.8499756,11.36819649,
545,11.50596905,
545.1400146,11.54967499,
545.4400024,11.09659767,
545.5800171,11.13634872,
545.7299805,10.97216034,
546.0200195,10.98667049,
546.1699829,10.85820293,
546.4699707,10.75733089,
546.6099854,10.57938385,
546.7600098,10.48973846,
547.0499878,10.46431732,
547.2000122,10.2111187,
547.3499756,10.61915588,
547.6400146,10.34031296,
547.789978,10.10979271,
547.9400024,9.936454773,
548.2299805,10.06263542,
548.3800049,10.11095715,
548.5200195,10.2564106,
548.8200073,9.728655815,
548.9699707,9.823821068,
549.2600098,9.550572395,
549.4099731,9.665587425,
549.5499878,9.621127129,
549.8499756,9.429271698,
550,9.289175987,
550.1400146,9.379076004,
550.4400024,9.318091393,
550.5800171,9.174031258,
550.7299805,9.128872871,
551.0200195,8.666138649,
551.1699829,9.092685699,
551.4699707,9.023714066,
551.6099854,8.57982254,
551.7600098,8.708345413,
552.0499878,8.542398453,
552.2000122,8.670952797,
552.3499756,8.461966515,
552.6400146,8.329939842,
552.789978,8.276603699,
552.9400024,8.469846725,
553.2299805,8.214150429,
553.3800049,8.351350784,
553.5200195,8.311058044,
553.8200073,8.035573959,
553.9699707,7.772881508,
554.2600098,7.680644512,
554.4099731,7.956081867,
554.5499878,8.00213623,
554.8499756,7.730556488,
555,7.879683018,
555.1400146,7.567790985,
555.4400024,7.496899128,
555.5800171,7.631999493,
555.7299805,7.523565292,
556.0200195,7.529151917,
556.1699829,7.342520714,
556.4699707,7.295456886,
556.6099854,7.143377781,
556.7600098,7.192679405,
557.0499878,7.114367962,
557.2000122,7.06752491,
557.3499756,7.139480591,
557.6400146,6.735385895,
557.789978,7.125617981,
557.9400024,6.906462669,
558.2299805,6.661857605,
558.3800049,6.721645355,
558.5200195,6.71906662,
558.8200073,6.559458256,
558.9699707,6.500033379,
559.2600098,6.483448505,
559.4099731,6.352434158,
559.5499878,6.234807968,
559.8499756,6.29570055,
560,5.914162159,
560.1400146,6.105361938,
560.4400024,5.968414783,
560.5800171,6.178171158,
560.7299805,6.089293957,
561.0200195,6.002698898,
561.1699829,5.851905823,
561.4699707,5.752745152,
561.6099854,5.875056744,
561.7600098,5.676517963,
562.0499878,5.671800613,
562.2000122,5.654936314,
562.3499756,5.558248043,
562.6400146,5.533378124,
562.789978,5.489068985,
562.9400024,5.652571201,
563.2299805,5.473777294,
563.3800049,5.221822739,
563.5200195,5.345240593,
563.8200073,5.370863914,
563.9699707,5.266705036,
564.2600098,5.220989704,
564.4099731,5.189918995,
564.5499878,5.154241562,
564.8499756,5.178994179,
565,5.075391293,
565.1400146,5.063006401,
565.4400024,4.973742962,
565.5800171,4.81025219,
565.7299805,4.879897594,
566.0200195,4.943506718,
566.1699829,4.782324791,
566.4699707,4.756915092,
566.6099854,4.694253922,
566.7600098,4.602498055,
567.0499878,4.555243492,
567.2000122,4.380217075,
567.3499756,4.391468048,
567.6400146,4.458938599,
567.789978,4.379631042,
567.9400024,4.503198624,
568.2299805,4.113075733,
568.3800049,4.406225681,
568.5200195,4.112342358,
568.8200073,4.213065624,
568.9699707,4.019954205,
569.2600098,4.003047466,
569.4099731,4.215208054,
569.5499878,4.245401382,
569.8499756,3.845395327,
570,4.106169701,
570.1400146,3.997403622,
570.4400024,3.922279358,
570.5800171,3.867168427,
570.7299805,3.843842983,
571.0200195,3.808989048,
571.1699829,3.867988825,
571.4699707,3.715064287,
571.6099854,3.721811295,
571.7600098,3.764544964,
572.0499878,3.576163054,
572.2000122,3.56733799,
572.3499756,3.666258574,
572.6400146,3.560580969,
572.789978,3.53580761,
572.9400024,3.558958292,
573.2299805,3.468508482,
573.3800049,3.352690697,
573.5200195,3.400140047,
573.8200073,3.440477371,
573.9699707,3.355603456,
574.2600098,3.275188684,
574.4099731,3.142533779,
574.5499878,3.140399694,
574.8499756,3.298048258,
575,3.339186192,
575.1400146,3.133332491,
575.4400024,3.10952425,
575.5800171,3.203619957,
575.7299805,3.099167347,
576.0200195,3.009950399,
576.1699829,3.206863642,
576.4699707,2.987357616,
576.6099854,2.941158772,
576.7600098,3.011503935,
577.0499878,2.994397879,
577.2000122,2.867660046,
577.3499756,2.807199001,
577.6400146,2.779967546,
577.789978,2.670698166,
577.9400024,2.763415813,
578.2299805,2.769173861,
578.3800049,2.690503597,
578.5200195,2.64751482,
578.8200073,2.65563488,
578.9699707,2.761519432,
579.2600098,2.508221626,
579.4099731,2.625416994,
579.5499878,2.519011974,
579.8499756,2.541387558,
580,2.531738043,
580.1400146,2.457192898,
580.4299927,2.393308401,
580.5700073,2.479900122,
580.7199707,2.430104733,
581.0100098,2.476933241,
581.1500244,2.355726719,
581.4400024,2.227306366,
581.5900269,2.329124212,
581.7299805,2.494342089,
582.0200195,2.264457464,
582.1699829,2.194669485,
582.460022,2.205803394,
582.5999756,2.240855932,
582.75,2.206153393,
583.039978,2.213161945,
583.1799927,2.10710001,
583.3300171,2.249819517,
583.6199951,1.985259175,
583.7600098,2.22598815,
584.0499878,2.095525503,
584.2000122,2.156632662,
584.3400269,2.043357372,
584.6300049,2.068513632,
584.7800293,1.98701489,
585.0700073,2.111151218,
585.210022,1.925328612,
585.3599854,2.029981136,
585.6500244,1.902499795,
585.789978,1.926369905,
585.9400024,1.933658838,
586.2299805,1.862328768,
586.3699951,1.899363756,
586.5200195,1.930034757,
586.8099976,1.797655821,
586.9500122,1.835948706,
587.2399902,1.832709312,
587.3900146,1.820793748,
587.5300293,1.793504357,
587.8200073,1.791887641,
587.9699707,1.770980954,
588.2600098,1.632585406,
588.4000244,1.702647328,
588.5499878,1.73015523,
588.8400269,1.729144454,
588.9799805,1.595728636,
589.1300049,1.675533056,
589.4199829,1.688463688,
589.5599976,1.580450296,
589.8499756,1.517836094,
590,1.675011754,
590.1400146,1.636941671,
590.4299927,1.619974494,
590.5700073,1.491171718,
590.7199707,1.571671844,
591.0100098,1.60793972,
591.1500244,1.419280648,
591.4400024,1.454405546,
591.5900269,1.441494226,
591.7299805,1.402082682,
592.0200195,1.465321779,
592.1699829,1.492455482,
592.460022,1.462343097,
592.5999756,1.430858016,
592.75,1.424896836,
593.039978,1.393488646,
593.1799927,1.436649203,
593.3300171,1.267449975,
593.6199951,1.441249132,
593.7600098,1.330643892,
594.0499878,1.443309069,
594.2000122,1.318766356,
594.3400269,1.434069633,
594.6300049,1.210930824,
594.7800293,1.33631897,
595.0700073,1.333046675,
595.210022,1.280123234,
595.3599854,1.240463972,
595.6500244,1.353205204,
595.789978,1.258288383,
595.9400024,1.244439006,
596.2299805,1.230041862,
596.3699951,1.242100477,
596.5200195,1.24309063,
596.8099976,1.033980608,
596.9500122,1.240096092,
597.2399902,1.177597523,
597.3900146,1.19908452,
597.5300293,1.160702944,
597.8200073,1.163831711,
597.9699707,1.138051033,
598.2600098,1.072066069,
598.4000244,1.117912531,
598.5499878,1.027399302,
598.8400269,1.10123539,
598.9799805,1.036406875,
599.1300049,1.051269531,
599.4199829,1.096849322,
599.5599976,1.079933286,
599.8499756,0.9150435925,
600,0.9492588639,

Pyranine in 10M Water w/ 70:30 mol% 1-butanol:acetonitrile,
Pyranine in 10M Water w/ 70:30 mol% 1-butanol:acetonitrile
Collection Time: 2/7/2020 2:09:17 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY16370002
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        380.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               366.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     1.5
Scan rate (nm/min)                60.00
Data interval (nm)                0.2000
Averaging Time (s)                0.2000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 2/7/2020 2:07:54 PM
Method Modifications:
Em. Slit Width (nm): Changed: 2/7/2020 2:08:38 PM, Old:5, New:1.5
Scan Control Changed: 2/7/2020 2:08:38 PM, Old:Medium, New:Manual
Ave. time (s): Changed: 2/7/2020 2:08:38 PM, Old:0.10000, New:0.20000
Excitation Wavelength Changed: 2/7/2020 2:08:38 PM, Old: 350.00, New: 366.00
Data interval: Changed: 2/7/2020 2:08:38 PM, Old:   1.00, New:   0.20
Emission Wavelength Changed: 2/7/2020 2:08:38 PM, Old: 400.00, New: 380.00
End Method Modifications

