Company Name,Ticker,Market Cap (mil)
"Applied Optoelectronics, Inc.","AAOI","136.36"
"AA PLC","AATDF","126.23"
"Advantage Oil & Gas Ltd","AAVVF","152.21"
"Atlas Air Worldwide Holdings","AAWW","595.19"
"Abeona Therapeutics Inc.","ABEO","178.11"
"Asbury Automotive Group, Inc.","ABG","975.52"
"Arbor Realty Trust","ABR","536.21"
"Allegiance Bancshares, Inc.","ABTX","507.22"
"Associated Capital Group, Inc.","AC","616.18"
"Aurora Cannabis Inc.","ACB","853.35"
"Atlantic Capital Bancshares, Inc.","ACBI","209.85"
"Acco Brands Corporation","ACCO","383.72"
"TPG Pace Holdings Corp.","ACEL","438.09"
"AC Immune  SA","ACIU","320.24"
"Axcelis Technologies, Inc.","ACLS","450.01"
"ACM Research, Inc.","ACMR","360.49"
"ACNB Corporation","ACNB","212.24"
"Ares Commercial Real Estate Corporation","ACRE","201.67"
"Acacia Research Corporation","ACTG","115.35"
"Adaptimmune Therapeutics PLC","ADAP","340.8"
"ADMA Biologics Inc","ADMA","194.28"
"Adient PLC","ADNT","807.56"
"Aduro Biotech, Inc.","ADRO","201.88"
"ADTRAN, Inc.","ADTN","278.9"
"Addus HomeCare Corporation","ADUS","894.64"
"Advant-e Corp.","ADVC","307.9"
"Adverum Biotechnologies, Inc.","ADVM","836.65"
"ADVA OPTICAL","ADVOF","244.8"
"Aberdeen Emerging Markets Equity Income Fund, Inc.","AEF","245.89"
"Aegion Corporation","AEGN","428.78"
"Aerie Pharmaceuticals, Inc.","AERI","549.71"
"Arc Resources Ltd.","AETUF","757.44"
"American Finance Trust, Inc.","AFIN","783.19"
"Affimed N.V.","AFMD","141.81"
"Agenus Inc.","AGEN","310.25"
"Aeglea BioTherapeutics, Inc.","AGLE","116.05"
"Federal Agricultural Mortgage Corporation","AGM","460.74"
"AGM Group Holdings Inc.","AGMH","320.33"
"Adecoagro S.A.","AGRO","475.56"
"Agile Therapeutics, Inc.","AGRX","113.09"
"Argan, Inc.","AGX","595.93"
"Agilysys, Inc.","AGYS","334.04"
"iShares Agency Bond ETF","AGZ","683.2"
"DFB Healthcare Acquisitions Corp.","AHCO","587.83"
"Armada Hoffler Properties, Inc.","AHH","463.23"
"Ashford Hospitality Trust Inc","AHT","141.78"
"Aesthetic Medical International Hldngs Group Ltd Sponsored ADR","AIH","204.25"
"Altra Industrial Motion Corp.","AIMC","977.1"
"Aimmune Therapeutics, Inc.","AIMT","721.32"
"Apollo Investment Corporation","AINV","515.73"
"AAR Corp.","AIR","466.8"
"Great Ajax Corp.","AJX","135.29"
"Akebia Therapeutics, Inc.","AKBA","758.37"
"Asanko Gold Inc.","AKG","160.31"
"Akero Therapeutics, Inc.","AKRO","482.9"
"Akoustis Technologies, Inc.","AKTS","164.4"
"Albireo Pharma, Inc.","ALBO","229.57"
"Alico, Inc.","ALCO","216.46"
"Alexander & Baldwin Holdings, Inc.","ALEX","639.19"
"Alamo Group, Inc.","ALG","890.34"
"Allot Communications Ltd.","ALLT","236.69"
"ALLIED MIND LTD","ALLWF","105.38"
"ALERUS FINL CP","ALRS","269.37"
"Absolute Software Corporation","ALSWF","228.43"
"Altus Midstream Company","ALTM","292.44"
"AMAG Pharmaceuticals, Inc.","AMAG","189.15"
"Amalgamated Bank","AMAL","288.48"
"Ambac Financial Group, Inc.","AMBC","523.69"
"American Business Bank","AMBZ","180.2"
"AMC Entertainment Holdings, Inc.","AMC","332.53"
"Apollo Medical Holdings, Inc.","AMEH","387.98"
"American National Bankshares, Inc.","AMNB","242.66"
"Allied Motion Technologies, Inc.","AMOT","206.42"
"Amphastar Pharmaceuticals, Inc.","AMPH","585.37"
"Ameresco, Inc.","AMRC","773.72"
"Amyris, Inc.","AMRS","235.27"
"American Superconductor Corporation","AMSC","104.66"
"ams AG Unsponsored ADR","AMSSY","883.55"
"American Software, Inc.","AMSWA","352.75"
"Mercantil Bank Holding Corporation","AMTB","620.95"
"American Woodmark Corporation","AMWD","728.11"
"AnaptysBio, Inc.","ANAB","361.26"
"The Andersons, Inc.","ANDE","582.13"
"Abercrombie & Fitch Company","ANF","545.28"
"AngioDynamics, Inc.","ANGO","325.84"
"Anworth Mortgage Asset  Corporation","ANH","130.57"
"Anika Therapeutics Inc.","ANIK","364.68"
"ANI Pharmaceuticals, Inc.","ANIP","447.32"
"American Outdoor Brands Corporation","AOBC","424.02"
"Africa Oil Corp.","AOIFF","270.43"
"Alpha and Omega Semiconductor Limited","AOSL","145.72"
"AO WORLD PLC","AOWDF","344.09"
"American Public Education, Inc.","APEI","346.9"
"Aphria Inc.","APHA","670.16"
"Applied Therapeutics Inc.","APLT","593.16"
"Apogee Enterprises, Inc.","APOG","401.07"
"Digital Turbine, Inc.","APPS","339.16"
"Aprea Therapeutics, Inc.","APRE","684.31"
"Blue Apron Holdings, Inc.","APRN","134.65"
"Alpha Pro Tech, Ltd.","APT","138.54"
"Aptose Biosciences, Inc.","APTO","397.37"
"Preferred Apartment Communities, Inc.","APTS","352.11"
"Apergy Corporation","APY","280.52"
"Bovie Medical Corporation","APYX","120.61"
"EVOQUA WATR TEC","AQUA","957.45"
"Antero Resources Corporation","AR","271.8"
"American Renal Associates Holdings, Inc","ARA","253.42"
"Accuray Incorporated","ARAY","141.13"
"ArcBest Corporation","ARCB","489.33"
"Arco Platform Limited","ARCE","964.58"
"Arch Coal Inc.","ARCH","503.77"
"Arcos Dorados Holdings Inc.","ARCO","730.63"
"Alcobra Ltd.","ARCT","182.87"
"Ardagh Group S.A.","ARD","192.94"
"Ardelyx, Inc.","ARDX","350.72"
"American Realty Investors, Inc.","ARL","127.98"
"Arlo Technologies, Inc.","ARLO","128.07"
"Alliance Resource Partners, L.P.","ARLP","493.52"
"Archrock, Inc.","AROC","554.92"
"Arrow Financial Corporation","AROW","371.92"
"ARMOUR Residential REIT, Inc.","ARR","459.25"
"Artesian Resources Corporation","ARTNA","303.85"
"ARROW GLOBAL GP","ARWGF","616.92"
"ASA Gold and Precious Metals Limited","ASA","175.54"
"Ardmore Shipping Corporation","ASC","134.71"
"Liberty All-Star Growth Fund","ASG","161.89"
"AdvanSix Inc.","ASIX","359.55"
"Assembly Biosciences, Inc.","ASMB","475.67"
"Aspen Aerogels, Inc.","ASPN","126.6"
"Altisource Portfolio Solutions S.A.","ASPS","127.26"
"Aspen Group Inc.","ASPU","168.49"
"Astec Industries, Inc.","ASTE","644.76"
"Atlantic Power Corporation","AT","212.87"
"America First Multifamily Investors, L.P.","ATAX","288.97"
"Boxwood Merger Corp.","ATCX","149.01"
"Alphatec Holdings, Inc.","ATEC","148.04"
"A10 Networks, Inc.","ATEN","313.88"
"Athersys, Inc.","ATHX","292.18"
"Allegheny Technologies Incorporated","ATI","788.03"
"Atkore International Group Inc.","ATKR","896.5"
"Ames National Corporation","ATLO","174.31"
"ATN International, Inc.","ATNI","921.02"
"Athenex, Inc.","ATNX","536.29"
"Atara Biotherapeutics, Inc.","ATRA","474.43"
"Astronics Corporation","ATRO","226.4"
"Astronics Corp.","ATROB","230.39"
"Antares Pharma, Inc.","ATRS","291.39"
"Avenue Therapeutics, Inc.","ATXI","114.79"
"Auburn National Bancorporation, Inc.","AUBN","107.38"
"AudioCodes Ltd.","AUDC","571.86"
"Autolus Therapeutics PLC Sponsored ADR","AUTL","180.26"
"American Vanguard Corporation","AVD","363.11"
"Avadel Pharmaceuticals PLC.","AVDL","228.07"
"Avid Technology, Inc.","AVID","246.73"
"AVROBIO, Inc.","AVRO","491.81"
"Anavex Life Sciences Corp.","AVXL","142.56"
"Avaya Holdings Corp.","AVYA","776.61"
"AllianceBernstein Global High Income Fund, Inc.","AWF","764.86"
"AXOS FINANCIAL, INC","AX","953.98"
"Accelerate Diagnostics, Inc.","AXDX","253.7"
"AxoGen, Inc.","AXGN","332.95"
"American Axle & Manufacturing Holdings, Inc.","AXL","335.38"
"Axonics Modulation Technologies, Inc.","AXNX","622.74"
"AXT Inc","AXTI","102.07"
"Alexco Resource Corp","AXU","176.3"
"Azure Power Global Ltd.","AZRE","590.98"
"AZZ Inc.","AZZ","666.23"
"Banc of California, Inc.","BANC","433.63"
"BancFirst Corporation","BANF","979.57"
"Liberty Media Corporation","BATRA","168.51"
"Liberty Media Corporation","BATRK","638.38"
"BBVA Banco Frances S.A.","BBAR","490.13"
"Bed Bath & Beyond Inc.","BBBY","634.8"
"CONCRETE PUMPING HOLDINGS, INC.","BBCP","203.19"
"BARINGS BDC, INC.","BBDC","313.19"
"VanEck Vectors Biotech ETF","BBH","286.12"
"Barrett Business Services, Inc.","BBSI","245.66"
"BBX Capital Corp.","BBX","120.71"
"BBX Capital Corp.","BBXTB","144.86"
"BCB Bancorp, Inc. (NJ)","BCBP","175.48"
"Boise Cascade, L.L.C.","BCC","809.42"
"Bonanza Creek Energy, Inc.","BCEI","218.04"
"Atreca, Inc.","BCEL","459.23"
"Brainstorm Cell Therapeutics Inc.","BCLI","120.66"
"Bay Commercial Bank","BCML","166.76"
"Blucora, Inc.","BCOR","428.15"
"Brightcove Inc.","BCOV","239.98"
"BioCryst Pharmaceuticals, Inc.","BCRX","288.34"
"Bain Capital Specialty Finance, Inc.","BCSF","493.77"
"Bicycle Therapeutics PLC Sponsored ADR","BCYC","190.76"
"Bridge Bancorp, Inc.","BDGE","392.1"
"BioDelivery Sciences International, Inc.","BDSI","312.21"
"Black Diamond Therapeutics, Inc.","BDTX","761.26"
"Bloom Energy Corporation","BE","481.46"
"Beam Therapeutics Inc.","BEAM","963.46"
"Beacon Roofing Supply, Inc.","BECN","952.28"
"Bright Scholar Education Holdings Ltd.","BEDU","690.25"
"Berkshire Bancorp Inc.","BERK","129.74"
"Benev Capital Inc.","BEVFF","116.75"
"Bank First National Corporation","BFC","357.44"
"BankFinancial Corporation","BFIN","126.98"
"Biofrontera AG Sponsored ADR","BFRA","158.77"
"Saul Centers, Inc.","BFS","594.56"
"Business First Bancshares, Inc.","BFST","133.84"
"Health Insurance Innovations, Inc.","BFYT","226.51"
"Briggs & Stratton Corporation","BGG","104.92"
"Biglari Holdings Inc.","BH.A","662.73"
"Bar Harbor Bankshares, Inc.","BHB","249.08"
"Benchmark Electronics, Inc.","BHE","635.13"
"Berkshire Hills Bancorp, Inc.","BHLB","630.01"
"BOULDER GR&INC","BIF","843.08"
"Big Lots, Inc.","BIG","472.42"
"Bioceres Crop Solutions Corp.","BIOX","170.49"
"Bitauto Holdings Limited","BITA","720.12"
"BJ's Restaurants, Inc.","BJRI","157.61"
"BlackRock Capital Investment Corporation","BKCC","151.84"
"Brookdale Senior Living Inc.","BKD","348.25"
"Buckle, Inc. (The)","BKE","769.88"
"BlackRock Investment Quality Municipal Trust Inc.","BKN","221.7"
"BlackRock Income Trust Inc.","BKT","357.9"
"Blue Bird Corporation","BLBD","333.62"
"BioLife Solutions, Inc.","BLFS","186.52"
"Bloomin' Brands, Inc.","BLMN","420.35"
"Bellus Health Inc.","BLU","443.58"
"Banco Latinoamericano de Comercio Exterior, S.A.","BLX","453.82"
"Bank of Marin Bancorp","BMRC","340.33"
"Bryn Mawr Bank Corporation","BMTC","510.84"
"Bright Mountain Media, Inc.","BMTM","112.15"
"Benefitfocus, Inc.","BNFT","242.2"
"Bank of Commerce Holdings (CA)","BOCH","114.75"
"Bollinger Industries Inc.","BOLL","147.92"
"Boston Omaha Corporation","BOMN","379.69"
"DMC Global Inc.","BOOM","350.35"
"Boot Barn Holdings, Inc.","BOOT","360.51"
"Boardwalk Real Estate Investment Trust","BOWFF","662.77"
"Banco Comercial Portugues S.A. Unsponsored ADR","BPCGY","238.52"
"Boston Private Financial Holdings, Inc.","BPFH","480.43"
"BP Midstream Partners LP","BPMP","870.57"
"Basilea Pharmaceutica AG","BPMUF","475.78"
"The Bank of Princeton","BPRN","158.39"
"Brookfield Property REIT Inc.","BPYU","525.73"
"BellRing Brands, Inc.","BRBR","602.07"
"Craft Brew Alliance, Inc.","BREW","249.86"
"Bluerock Residential Growth REIT, Inc.","BRG","147.28"
"Bridgford Foods Corporation","BRID","148"
"Brookline Bancorp, Inc.","BRKL","825.6"
"BROADMARK RLTY","BRMK","880.54"
"BRP Group, Inc.","BRP","210.66"
"Barloworld Ltd.","BRRAY","985.93"
"BRT Realty Trust","BRT","144.26"
"Berry Petroleum Corporation","BRY","195.68"
"OM Asset Management PLC","BSIG","387.32"
"Black Stone Minerals, L.P.","BSM","945.28"
"Sierra Bancorp","BSRR","218.44"
"BioSpecifics Technologies Corp","BSTC","326.27"
"BioXcel Therapeutics, Inc.","BTAI","348.34"
"Baytex Energy Corp","BTE","140.13"
"John Hancock Financial Opportunities Fund","BTO","326.35"
"Peabody Energy Corporation","BTU","321.43"
"First Busey Corporation","BUSE","772.85"
"BrightView Holdings, Inc.","BV","859.73"
"BAVARIAN NORDIC","BVNRY","536.99"
"Bridgewater Bancshares, Inc.","BWB","261.34"
"Bankwell Financial Group, Inc.","BWFG","126.9"
"SPDR Bloomberg Barclays International Treasury Bond ETF","BWX","930.2"
"Bluegreen Vacations Corporation","BXG","310.09"
"Byline Bancorp, Inc.","BY","347.53"
"BeyondSpring Inc.","BYSI","367.91"
"Beazer Homes USA, Inc.","BZH","149.39"
"Corporacion America Airports S.A.","CAAP","281.64"
"Cabaletta Bio, Inc.","CABA","176.17"
"Camden National Corporation","CAC","499.88"
"Cadence Bancorp","CADE","688.22"
"CAI International, Inc.","CAI","241.67"
"The Cheesecake Factory Incorporated","CAKE","712.2"
"Caleres, Inc.","CAL","207.13"
"Calithera Biosciences, Inc.","CALA","261.97"
"Calix, Inc","CALX","345.05"
"CalAmp Corp.","CAMP","166.7"
"Camtek Ltd.","CAMT","257.28"
"Canaan Inc. Sponsored ADR","CAN","491.84"
"Cango Inc. Sponsored ADR","CANG","847.84"
"CrossAmerica Partners LP","CAPL","459.83"
"Avis Budget Group, Inc.","CAR","816.44"
"Cara Therapeutics, Inc.","CARA","491.55"
"Carter Bank & Trust","CARE","181.53"
"Carolina Financial Corporation","CARO","554.12"
"Cars.com Inc.","CARS","273.26"
"Casa Systems, Inc.","CASA","216.28"
"Meta Financial Group, Inc.","CASH","750.54"
"CASI Pharmaceuticals, Inc.","CASI","196.07"
"Cass Information Systems, Inc","CASS","443.36"
"Cambridge Bancorp","CATC","268.99"
"Cato Corporation (The)","CATO","277.89"
"Catasys Inc.","CATS","162.08"
"Colony Bankcorp, Inc.","CBAN","113.99"
"Cincinnati Bell Inc","CBB","691.76"
"CB Financial Services, Inc.","CBFV","105.3"
"Cellular Biomedicine Group, Inc.","CBMG","273.87"
"Capital Bancorp, Inc.","CBNK","137.31"
"CBTX, Inc.","CBTX","379.18"
"Cannabis Wheaton Income Corp.","CBWTF","128.22"
"CBIZ, Inc.","CBZ","955.13"
"Crescent Capital BDC, Inc.","CCAP","209.16"
"Coastal Financial Corporation","CCB","113.44"
"Capital City Bank Group","CCBG","287.8"
"Chase Corporation","CCF","659.67"
"CNB Financial Corporation","CCNE","263.75"
"Clear Channel Outdoor Holdings, Inc.","CCO","254.29"
"CONSOL Coal Resources LP","CCR","143.13"
"Cross Country Healthcare, Inc.","CCRN","285.67"
"Century Communities, Inc.","CCS","397.51"
"Coeur Mining, Inc.","CDE","709.78"
"CENTENNIAL RES","CDEV","144.06"
"Cardlytics, Inc.","CDLX","693.74"
"Avid Bioservices, Inc.","CDMO","177.92"
"CareDx, Inc.","CDNA","743.52"
"ChromaDex Corporation","CDXC","163.82"
"Codexis, Inc.","CDXS","528.92"
"Cadiz, Inc.","CDZI","333.55"
"CECO Environmental Corp.","CECE","139.02"
"The Central and Eastern Europe Fund, Inc.","CEE","105.85"
"Consol Energy Inc.","CEIX","166.33"
"Cellcom Israel, Ltd.","CEL","360.98"
"Celsius Holdings Inc.","CELH","265.86"
"Century Aluminum Company","CENX","280.94"
"Central Puerto S.A. Sponsored ADR","CEPU","342.17"
"Crestwood Equity Partners LP","CEQP","365.81"
"Cerecor Inc.","CERC","154.97"
"Cerus Corporation","CERS","514.07"
"Central Securities Corporation","CET","574.74"
"Central European Media Enterprises Ltd.","CETV","628.95"
"CEVA, Inc.","CEVA","486.67"
"CrossFirst Bankshares, Inc.","CFB","480.34"
"CF Finance Acquisition Corp.","CFFA","362.81"
"C&F Financial Corporation","CFFI","127.65"
"California First National Bancorp","CFNB","136.93"
"ContraFect Corporation","CFRX","100.12"
"TCG BDC, Inc.","CGBD","327.08"
"Compugen Ltd.","CGEN","459.78"
"CGG","CGGYY","653.44"
"HASH LABS INC","CGLO","133.64"
"City Holding Company","CHCO","972.09"
"Community Healthcare Trust Incorporated","CHCT","564.46"
"The Chefs' Warehouse, Inc.","CHEF","168.04"
"Chesapeake Energy Corporation","CHK","370.98"
"Chiasma, Inc.","CHMA","141.14"
"Chemung Financial Corp","CHMG","126.68"
"Change Healthcare Inc.","CHNG","980.81"
"Coherus BioSciences, Inc.","CHRS","977.44"
"Chico's FAS, Inc.","CHS","222.52"
"Chuy's Holdings, Inc.","CHUY","139.58"
"Chiyoda Corp. Unsponsored ADR","CHYCY","712.16"
"Citizens, Inc.","CIA","286.45"
"Credit Suisse Asset Management Income Fund, Inc.","CIK","114.55"
"Ciner Resources LP","CINR","197.57"
"City Office REIT, Inc.","CIO","404.52"
"CIRCOR International, Inc.","CIR","194.92"
"Civista Bancshares, Inc.","CIVB","223.97"
"CompX International Inc.","CIX","156.78"
"Citizens Holding Company","CIZN","102.97"
"Corus Entertainment Inc.","CJREF","313.62"
"SEACOR Holdings, Inc.","CKH","465.93"
"Clarus Corporation","CLAR","262.78"
"Core Laboratories N.V.","CLB","442.24"
"Collectors Universe, Inc.","CLCT","143.28"
"Chatham Lodging Trust (REIT)","CLDT","220.69"
"Cleveland-Cliffs Inc.","CLF","865.9"
"Clearfield, Inc.","CLFD","123.32"
"Cellectis S.A.","CLLS","337.05"
"CORNERSTONE STR","CLM","512.78"
"COLONY CREDIT REAL ESTATE, INC.","CLNC","361.13"
"Clean Energy Fuels Corp.","CLNE","304.26"
"COLONY CAPITAL, INC.","CLNY","740.8"
"Clipper Realty Inc.","CLPR","102.97"
"Celestica, Inc.","CLS","372.43"
"Clovis Oncology, Inc.","CLVS","325.37"
"Clearwater Paper Corporation","CLW","330.69"
"Calyxt, Inc.","CLXT","108.21"
"Cambium Networks Corporation","CMBM","130.73"
"Cheetah Mobile Inc.","CMCM","306.73"
"Columbus McKinnon Corporation","CMCO","531.35"
"CIM Commercial Trust Corporation","CMCT","137.84"
"Capstead Mortgage Corporation","CMO","296.28"
"Costamare Inc.","CMRE","439.6"
"Comtech Telecommunications Corp.","CMTL","348.29"
"Comtex News Network Inc.","CMTX","788.12"
"MFS High Yield Municipal Trust","CMU","103.1"
"Century Bancorp, Inc.","CNBKA","332.24"
"Concert Pharmaceuticals, Inc.","CNCE","242.43"
"Conduent Inc.","CNDT","417.42"
"CNFinance Holdings Limited Sponsored ADR","CNF","274.33"
"Canacol Energy Ltd.","CNNEF","434.33"
"ConnectOne Bancorp, Inc.","CNOB","427.57"
"NCI Building Systems, Inc.","CNR","376.96"
"Consorcio ARA SAB","CNRFF","308.52"
"Consolidated Communications Holdings, Inc.","CNSL","287.09"
"Centogene N.V.","CNTG","418.07"
"CNX Midstream Partners LP","CNXM","766.35"
"PC Connection, Inc.","CNXN","905.74"
"China Cord Blood Corporation","CO","412.06"
"Compass Diversified Holdings","CODI","749.35"
"Co-Diagnostics, Inc.","CODX","260.37"
"China Online Education Group","COE","509.85"
"ChoiceOne Financial Services, Inc.","COFS","137.72"
"Cohu, Inc.","COHU","433.68"
"Collegium Pharmaceutical, Inc.","COLL","488.59"
"Conn's, Inc.","CONN","120.81"
"MR. COOPER GROUP INC","COOP","564.93"
"CorEnergy Infrastructure Trust, Inc.","CORR","218.3"
"Corvus Gold, Inc.","CORVF","123.73"
"Cowen Group, Inc.","COWN","187.7"
"Cementos Pacasmayo S.A.A.","CPAC","597.83"
"Callon Petroleum Company","CPE","174.54"
"CPB Inc.","CPF","369.69"
"Crescent Point Energy Corporation","CPG","370.47"
"COREPOINT LODGE","CPLG","203.65"
"Capital Product Partners L.P.","CPLP","113.38"
"Catalyst Pharmaceuticals, Inc.","CPRX","305.06"
"Cooper-Standard Holdings Inc.","CPS","159.67"
"Computer Programs and Systems, Inc.","CPSI","253.53"
"Charles River Associates","CRAI","201.01"
"Corbus Pharmaceuticals Holdings, Inc.","CRBP","332.73"
"California Resources Corporation","CRC","148.51"
"Crawford & Company","CRD.A","353.41"
"Crawford & Company","CRD.B","316.74"
"Cresud S.A.C.I.F. y A.","CRESY","141.61"
"Cornerstone Total Return Fund, Inc.","CRF","262.99"
"Comstock Resources, Inc.","CRK","881.62"
"America's Car-Mart, Inc.","CRMT","267.41"
"Cerence Inc.","CRNC","568.45"
"Cairn Energy PLC","CRNCY","438.78"
"Ceragon Networks Ltd.","CRNT","105.9"
"Crinetics Pharmaceuticals, Inc.","CRNX","324.28"
"Crocs, Inc.","CROX","735.25"
"Carpenter Technology Corporation","CRS","710.77"
"Criteo S.A.","CRTO","448.55"
"CorVel Corp.","CRVL","978.03"
"CryoLife, Inc.","CRY","574.88"
"Capstone Mining Corp.","CSFFF","101.97"
"Canadian Solar Inc.","CSIQ","874.32"
"Castlight Health, inc.","CSLT","113.08"
"Casper Sleep Inc.","CSPR","126.16"
"Caesarstone Ltd.","CSTE","306.12"
"Castle Biosciences, Inc.","CSTL","483.1"
"Capstar Financial Holdings Inc.","CSTR","153.56"
"Carriage Services, Inc.","CSV","276.32"
"Capital Southwest Corporation","CSWC","173.43"
"CSW Industrials, Inc.","CSWI","885.32"
"Cooper Tire & Rubber Company","CTB","851.74"
"Community Trust Bancorp, Inc.","CTBI","529.97"
"CooTek (Cayman) Inc. Sponsored ADR","CTK","372.73"
"CytomX Therapeutics, Inc.","CTMX","225.56"
"Consolidated-Tomoka Land Co.","CTO","184.22"
"Citi Trends, Inc.","CTRN","102.75"
"CTS Corporation","CTS","591.58"
"Cytosorbents Corporation","CTSO","140.2"
"CatchMark Timber Trust, Inc.","CTT","293.27"
"CTT Correios de Portugal, S.A. Unsponsored ADR","CTTPY","337.5"
"China Travel Resort Holdings Inc.","CTVZ","164.58"
"Customers Bancorp, Inc","CUBI","356.81"
"Cue Biopharma, Inc.","CUE","324.76"
"CURO Group Holdings Corp.","CURO","172.59"
"Cuisine Solutions Inc.","CUSI","343.75"
"Cutera, Inc.","CUTR","132.48"
"Central Valley Community Bancorp","CVCY","158.38"
"Covetrus, Inc.","CVET","694.82"
"Calavo Growers, Inc.","CVGW","936.54"
"COVIA HOLDINGS","CVIA","102.98"
"Codorus Valley Bancorp, Inc","CVLY","159.42"
"Cel-Sci Corporation","CVM","436.62"
"Covenant Transportation Group, Inc.","CVTI","172.2"
"Consolidated Water Co. Ltd.","CWCO","219.54"
"Crimson Wine Group Ltd.","CWGL","127.84"
"Camping World Holdings Inc.","CWH","376.78"
"MFS High Income Municipal Trust","CXE","129.84"
"CyberOptics Corporation","CYBE","107.18"
"China Yuchai International Limited","CYD","339.12"
"CytoDyn Inc.","CYDY","445.97"
"Community Health Systems, Inc.","CYH","309.96"
"Changyou.com Limited","CYOU","567.65"
"CryoPort, Inc.","CYRX","548.86"
"Cytokinetics, Incorporated","CYTK","567.75"
"Citizens Financial Services Inc.","CZFS","176.29"
"Citizens & Northern Corp","CZNC","238.79"
"Daktronics, Inc.","DAKT","206"
"Dana Incorporated","DAN","852.26"
"Invesco DB Agriculture ETF","DBA","290.99"
"Invesco DB Commodity Index Tracking ETF","DBC","813.94"
"Diebold Nixdorf, Incorporated","DBD","319.27"
"Designer Brands Inc.","DBI","397.48"
"Dacotah Banks, Inc.","DBIN","275.26"
"DBM GLOBAL INC","DBMG","679.63"
"DBV Technologies S.A.","DBVT","408.66"
"Ducommun Incorporated","DCO","222.04"
"Dime Community Bancshares, Inc.","DCOM","423.89"
"DCP Midstream Partners, LP","DCP","887.48"
"3D Systems Corporation","DDD","714.64"
"Delta Galil Industries Ltd.","DELTY","301.54"
"Denny's Corporation","DENN","306.43"
"Despegar.com Corp.","DESP","484.13"
"Donnelley Financial Solutions Inc.","DFIN","182.57"
"Donegal Group, Inc.","DGICA","334.69"
"Donegal Group, Inc.","DGICB","334.98"
"Digi International Inc.","DGII","223.61"
"Delek Group Ltd.","DGRLY","563.2"
"Senior Housing Properties Trust","DHC","594.74"
"BNY Mellon High Yield Strategies Fund","DHF","144.69"
"Diamond Hill Investment Group, Inc.","DHIL","285.07"
"DHT Holdings, Inc.","DHT","811.85"
"DHI Group, Inc.","DHX","137.48"
