Company Name,Ticker,Market Cap (mil)
"Credit Suisse High Yield Bond Fund, Inc.","DHY","166.13"
"DINE BRANDS GLOBAL, INC.","DIN","287.04"
"Daily Journal Corp. (S.C.)","DJCO","302.47"
"Delek Logistics Partners, L.P.","DKL","203.37"
"China Distance Education Holdings Limited","DL","239.9"
"Delphi Technologies PLC","DLPH","713.54"
"Duluth Holdings Inc.","DLTH","140.26"
"Deluxe Corporation","DLX","935.37"
"BNY Mellon Municipal Income, Inc.","DMF","146.47"
"Dorchester Minerals, L.P.","DMLP","331.54"
"Digimarc Corporation","DMRC","144.91"
"Constellation Alpha Capital Corp.","DMTK","150.07"
"Denison Mine Corp","DNN","130.19"
"NOW Inc.","DNOW","631.22"
"Denbury Resources Inc.","DNR","147.1"
"Diamond Offshore Drilling, Inc.","DO","374.55"
"Domo, Inc.","DOMO","231.56"
"DAQO New Energy Corp.","DQ","493.95"
"DRDGOLD Limited","DRD","337.27"
"Diamondrock Hospitality Company","DRH","781.39"
"DURECT Corporation","DRRX","233.02"
"BNY Mellon Strategic Municipal Bond Fund, Inc.","DSM","398.05"
"DSP Group, Inc.","DSPG","256.54"
"Diamond S Shipping Inc.","DSSI","388.35"
"BlackRock Debt Strategies Fund, Inc.","DSU","345.42"
"Diana Shipping inc.","DSX","118.55"
"DTF Tax-Free Income, Inc.","DTF","106.42"
"Precision BioSciences, Inc.","DTIL","272.42"
"DATATEC","DTTLY","445.13"
"Duff & Phelps Utility and Corporate Bond Trust Inc.","DUC","228.48"
"Fangdd Network Group Ltd.","DUO","831.42"
"Dynavax Technologies Corporation","DVAX","246.5"
"WisdomTree International Equity ETF","DWM","510.99"
"Dynex Capital, Inc.","DX","271.68"
"DXP Enterprises, Inc.","DXPE","195.19"
"Dycom Industries, Inc.","DY","504.73"
"Dyadic International Inc.","DYAI","108.85"
"Brinker International, Inc.","EAT","348.26"
"Eventbrite, Inc.","EB","647.58"
"Ennis, Inc.","EBF","411.5"
"Ebix, Inc.","EBIX","411.43"
"Eagle Bancorp Montana, Inc.","EBMT","106.17"
"Meridian Bancorp, Inc.","EBSB","512.41"
"Enterprise Bancorp Inc","EBTC","272.34"
"Eagle Point Credit Company Inc.","ECC","147.79"
"Ellsworth Growth and Income Fund Ltd.","ECF","109.76"
"iShares MSCI Chile ETF","ECH","305.9"
"Echo Global Logistics, Inc.","ECHO","435.11"
"US Ecology, Inc.","ECOL","941.7"
"ChannelAdvisor Corporation","ECOM","155.14"
"Encore Capital Group Inc","ECPG","623.83"
"Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)","EDN","145.48"
"Emerald Expositions Events, Inc.","EEX","225.55"
"Ellington Financial LLC","EFC","299.66"
"Enterprise Financial Services Corporation","EFSC","697.28"
"eGain Corporation","EGAN","178"
"Eagle Bancorp, Inc.","EGBN","827.11"
"Eagle Bulk Shipping Inc.","EGLE","143.47"
"Eldorado Gold Corporation","EGO","849.59"
"Eagle Pharmaceuticals, Inc.","EGRX","504.34"
"EHang Holdings Limited Unsponsored ADR","EH","538.87"
"Endurance International Group Holdings, Inc.","EIGI","220.06"
"Eiger BioPharmaceuticals, Inc.","EIGR","137.28"
"e.l.f. Beauty Inc.","ELF","436.13"
"Ellomay Capital Ltd.","ELLO","125.26"
"ELEMENTIS","ELMTY","171.25"
"Senesco Technologies Inc.","ELOX","101.1"
"Callaway Golf Company","ELY","684.96"
"Templeton Emerging Markets Fund","EMF","173.38"
"Emisphere Technologies Inc.","EMIS","399.1"
"Eastern Company (The)","EML","119.2"
"EMX Royalty Corp.","EMX","104.45"
"Enable Midstream Partners, LP","ENBL","913.93"
"Endo International plc","ENDP","682.77"
"EnLink Midstream, LLC","ENLC","561.71"
"Enochian BioSciences Inc.","ENOB","115.31"
"Enanta Pharmaceuticals, Inc.","ENTA","931.65"
"Enova International, Inc.","ENVA","324.31"
"Enzo Biochem, Inc.","ENZ","132.21"
"Evolus, Inc.","EOLS","122.43"
"Actuant Corporation","EPAC","955.43"
"Equity Bancshares, Inc.","EQBK","251.39"
"Equinox Gold Corp.","EQX","706.16"
"Era Group, Inc.","ERA","114.23"
"Enerplus Corporation","ERF","315.73"
"Eldorado Resorts, Inc.","ERI","686.17"
"Energy Recovery, Inc.","ERII","360.7"
"Eros International PLC","EROS","179.53"
"Esprit Holdings Ltd.","ESPGY","174.55"
"Esperion Therapeutics, Inc.","ESPR","939.81"
"Esquire Financial Holdings, Inc.","ESQ","115.46"
"ESSA Bancorp, Inc.","ESSA","150.04"
"Establishment Labs Holdings Inc.","ESTA","271.98"
"Earthstone Energy, Inc.","ESTE","117.16"
"Ethan Allen Interiors Inc.","ETH","290.4"
"Entercom Communications Corporation","ETM","239.97"
"Enviva Partners, LP","EVA","881.12"
"Evans Bancorp, Inc.","EVBN","109.43"
"Entravision Communications Corporation","EVC","170.78"
"EverQuote, Inc.","EVER","719.69"
"Neothetics, Inc.","EVFM","198.38"
"Evolent Health, Inc","EVH","410.9"
"EnviroStarm, Inc.","EVI","185.69"
"Evelo Biosciences, Inc.","EVLO","110.19"
"Eaton Vance Municipal Income Trust","EVN","430.78"
"Everi Holdings Inc.","EVRI","246.92"
"iShares MSCI Australia ETF","EWA","773.36"
"iShares MSCI Sweden ETF","EWD","152.82"
"iShares MSCI Italy ETF","EWI","169.73"
"iShares MSCI Switzerland ETF","EWL","855.74"
"iShares MSCI Malaysia ETF","EWM","265.39"
"iShares MSCI Spain ETF","EWP","582.89"
"iShares MSCI France ETF","EWQ","511.75"
"iShares MSCI Singapore ETF","EWS","356.85"
"EXFO Inc","EXFO","119.43"
"Endeavour Silver Corporation","EXK","165.89"
"Exp World Holdings, Inc.","EXPI","480.99"
"Express, Inc.","EXPR","109.95"
"Exterran Corporation","EXTN","165.86"
"Extreme Networks, Inc.","EXTR","269.01"
"EYEPOINT PHARMACEUTICALS, INC.","EYPT","114.73"
"iShares MSCI South Africa ETF","EZA","202.48"
"EZCORP, Inc.","EZPW","213.58"
"Farmer Brothers Company","FARM","118.72"
"FARO Technologies, Inc.","FARO","638.6"
"Direxion Daily Financial Bull 3X Shares","FAS","398.48"
"Aberdeen Asia-Pacific Income Fund Inc","FAX","807.49"
"Direxion Daily Financial Bear 3x Shares","FAZ","335.68"
"First National Bank Alaska","FBAK","677.72"
"First Business Financial Services, Inc.","FBIZ","125.46"
"FB Financial Corporation","FBK","545.92"
"Foundation Building Materials, Inc.","FBM","421.55"
"The First Bancshares, Inc.","FBMS","317.66"
"First Bancorp","FBNC","611.41"
"Carolco Pictures, Inc.","FBNK","229.05"
"First BanCorp.","FBP","839.01"
"Franklin Covey Company","FC","213.26"
"First Capital, Inc.","FCAP","169.94"
"First Community Bancshares, Inc.","FCBC","397.34"
"First Choice Bancorp","FCBP","153.84"
"First Community Corporation","FCCO","108.2"
"1st Constitution Bancorp (NJ)","FCCY","129.87"
"FuelCell Energy, Inc.","FCEL","257.38"
"First Commonwealth Financial Corporation","FCF","863.6"
"Focus Universal, Inc.","FCUV","188.42"
"Fidelity D&D Bancorp Inc.","FDBC","178.45"
"First Defiance Financial Corp.","FDEF","251.94"
"Fidus Investment Corporation","FDUS","161.68"
"Adherex Technologies Inc.","FENC","107.04"
"FutureFuel Corp.","FF","433.06"
"FBL Financial Group, Inc.","FFG","789.07"
"Flushing Financial Corporation","FFIC","302.66"
"First Foundation Inc.","FFWM","381.36"
"First Guaranty Bancshares, Inc.","FGBI","165.99"
"Firstgroup PLC Unsponsored ADR","FGROY","743.29"
"Frank's International N.V.","FI","803.34"
"PPDAI Group Inc. Sponsored ADR","FINV","422.24"
"Financial Institutions, Inc.","FISI","232.04"
"Homology Medicines, Inc.","FIXX","620.19"
"First Keystone Corp.","FKYS","107.61"
"FULGENT GENETIC","FLGT","191.5"
"The First of Long Island Corporation","FLIC","321.68"
"Osprey Energy Acquisition Corp.","FLMN","191.7"
"Flex LNG Ltd.","FLNG","220.2"
"SPX FLOW, Inc.","FLOW","758.4"
"Fluor Corporation","FLR","789.18"
"1-800 FLOWERS.COM, Inc.","FLWS","805.62"
"Flexion Therapeutics, Inc.","FLXN","231.31"
"Fly Leasing Limited","FLY","126.68"
"Farmers & Merchants Bancorp Inc.","FMAO","244.97"
"First Mid-Illinois Bancshares, Inc.","FMBH","340.99"
"Farmers & Merchants Bank of Long Beach","FMBL","758.33"
"Freddie Mac","FMCC","910.08"
"Farmers National Banc Corp.","FMNB","327.63"
"FNCB Bancorp, Inc.","FNCB","116.2"
"FEDNAT HOLDING CO","FNHC","153.47"
"Funko, Inc.","FNKO","200.31"
"First Bancorp, Inc (ME)","FNLC","214.16"
"First Northern Community Bancorp","FNRN","105.03"
"First Northwest Bancorp","FNWB","115.42"
"Ferro Corporation","FOE","700.44"
"Forestar Group Inc","FOR","587.35"
"Forrester Research, Inc.","FORR","427.8"
"Formula Systems (1985) Ltd.","FORTY","642.18"
"Fossil Group, Inc.","FOSL","211.4"
"First Pacific Co.","FPAFY","721.27"
"Five Point Holdings, LLC","FPH","613.71"
"Farmland Partners Inc.","FPI","180.01"
"PROVIDENT FIN","FPLPY","527.03"
"Franklin Financial Services Corp.","FRAF","100.75"
"First Bank","FRBA","120.44"
"Republic First Bancorp, Inc.","FRBK","126.53"
"Frequency Therapeutics, Inc.","FREQ","611.08"
"Liberty Tax, Inc.","FRG","133.31"
"Fiesta Restaurant Group, Inc.","FRGI","133.18"
"BMB Munai Inc.","FRHC","732.26"
"FRP Holdings, Inc.","FRPH","344.34"
"FORTERRA INC","FRTA","275.63"
"Franklin Financial Network, Inc.","FSB","274.91"
"FS Bancorp, Inc.","FSBW","131.6"
"Fortuna Silver Mines Inc.","FSM","362.26"
"Franklin Street Properties Corp.","FSP","487"
"L.B. Foster Company","FSTR","120.64"
"Franklin Universal Trust","FT","135.95"
"Fortress Transportation and Infrastructure Investors LLC","FTAI","639.15"
"Fulcrum Therapeutics, Inc.","FULC","257.63"
"Sprott Focus Trust, Inc.","FUND","120.25"
"Futu Holdings Limited Sponsored ADR","FUTU","962.74"
"Fvcbankcorp, Inc.","FVCB","168.04"
"Fiverr International Lt.","FVRR","672.28"
"Foxtons Group PLC Unsponsored ADR","FXTGY","154.06"
"Gabelli Equity Trust Inc.","GAB","955.08"
"German American Bancorp, Inc.","GABC","673.18"
"Gaia, Inc.","GAIA","118.64"
"Gladstone Investment Corporation","GAIN","255.14"
"Galectin Therapeutics Inc.","GALT","100.37"
"General American Investors, Inc.","GAM","611.8"
"Gainsco Inc.","GANS","138.76"
"Gamco Investors, Inc.","GBL","333.41"
"Global Indemnity PLC","GBLI","346.37"
"Greenbrier Companies, Inc. (The)","GBX","482.75"
"GAIN Capital Holdings, Inc.","GCAP","178.15"
"Greene County Bancorp, Inc.","GCBC","221.95"
"Genesco Inc.","GCO","172.43"
"Golden Entertainment, Inc.","GDEN","105.52"
"Green Dot Corporation","GDOT","982.31"
"Gold Reserve Inc.","GDRZF","149.08"
"ChaSerg Technology Acquisition Corp.","GDYN","160.4"
"GENEL ENERGY","GEGYY","613.87"
"Genesis Energy, L.P.","GEL","516.05"
"Genesis Healthcare, Inc.","GEN","130.34"
"Gencor Industries Inc.","GENC","138.85"
"Geron Corporation","GERN","220.38"
"Guess?, Inc.","GES","462.1"
"Griffon Corporation","GFF","460.65"
"General Finance Corporation","GFN","154.56"
"Grupo Financiero Galicia S.A.","GGAL","971.65"
"Gabelli Multimedia Trust Inc.","GGT","103.98"
"Greenhill & Co., Inc.","GHL","183.97"
"Graham Corporation","GHM","133.83"
"G-III Apparel Group, LTD.","GIII","289.33"
"Gilat Satellite Networks Ltd.","GILT","303.55"
"Templeton Global Income Fund, Inc.","GIM","677.43"
"Gladstone Capital Corporation","GLAD","175.39"
"Great Lakes Dredge & Dock Corporation","GLDD","518.15"
"Golar LNG Limited","GLNG","706.07"
"GasLog LP.","GLOG","300.04"
"Global Partners LP","GLP","336.89"
"Greenlight Capital Re, Ltd.","GLRE","204.2"
"Glatfelter","GLT","471.44"
"Glu Mobile Inc.","GLUU","913.69"
"GameStop Corp.","GME","247.87"
"SPDR S&P Emerging Asia Pacific ETF","GMF","413.29"
"Golar LNG Partners LP","GMLP","165.63"
"Global Medical REIT Inc.","GMRE","419.14"
"GMS Inc.","GMS","495.58"
"GREENCORE GRP","GNCGY","707.1"
"Genie Energy Ltd.","GNE","175.74"
"GENFIT S.A. Unsponsored ADR","GNFT","515.66"
"Genco Shipping & Trading Limited Warrants Expiring 12/31/2021","GNK","202.51"
"Greenlane Holdings, Inc.","GNLN","180.99"
"GenMark Diagnostics, Inc.","GNMK","325.76"
"Guaranty Bancshares Inc.","GNTY","249.33"
"Golden Ocean Group Limited","GOGL","399.75"
"Gogo Inc.","GOGO","224.96"
"Gol Linhas Aereas Inteligentes S.A.","GOL","488.29"
"Gladstone Commercial Corporation","GOOD","323.65"
"Gold Resource Corporation","GORO","155.03"
"Gossamer Bio, Inc.","GOSS","627.36"
"Group 1 Automotive, Inc.","GPI","767.11"
"Granite Point Mortgage Trust Inc.","GPMT","234.94"
"Gulfport Energy Corporation","GPOR","112.77"
"Green Plains, Inc.","GPRE","162"
"Geopark Ltd","GPRK","347.62"
"GoPro, Inc.","GPRO","386.87"
"GP Strategies Corporation","GPX","109.49"
"Grana y Montero S.A.A.","GRAM","261.57"
"Green Brick Partners, Inc.","GRBK","313.03"
"Gorman-Rupp Company (The)","GRC","636.58"
"GREE INC TOKYO","GREZF","805.8"
"Griffin Industrial Realty, Inc.","GRIF","176.46"
"Groupon, Inc.","GRPN","313.62"
"Gritstone Oncology, Inc.","GRTS","209.65"
"Galera Therapeutics, Inc.","GRTX","215.19"
"GRAVITY Co., Ltd.","GRVY","162.58"
"GrowGeneration Corp.","GRWG","110.37"
"Globalstar, Inc.","GSAT","449.65"
"GlobalSCAPE, Inc.","GSB","116.18"
"Great Southern Bancorp, Inc.","GSBC","482.1"
"Goldman Sachs BDC, Inc.","GSBD","423.82"
"iShares S&P GSCI Commodity-Indexed Trust","GSG","541.29"
"Goosehead Insurance Inc.","GSHD","709.07"
"GSI Technology, Inc.","GSIT","126.67"
"GreenSky, Inc.","GSKY","685.4"
"TKK Symphony Acquisition Corporation","GSMG","110.08"
"Golden Star Resources, Ltd","GSS","241.18"
"G1 THERAPEUTICS","GTHX","400.89"
"Chart Industries, Inc.","GTLS","597.29"
"Gray Television, Inc.","GTN","982.69"
"Gray Television, Inc.","GTN.A","984.69"
"Triple-S Management Corporation","GTS","237.07"
"GTT Communications, Inc.","GTT","497.02"
"Garrett Motion Inc.","GTX","214.76"
"Getty Realty Corporation","GTY","758.91"
"GTY Technology Holdings Inc.","GTYH","239.63"
"Granite Construction Incorporated","GVA","567.44"
"GWG Holdings, Inc","GWGH","299.29"
"Global Water Resources, Inc.","GWRS","228.53"
"Hawaiian Holdings, Inc.","HA","396.81"
"Hanmi Financial Corporation","HAFC","282.09"
"Hadera Paper Ltd.","HAIPF","140.38"
"Harpoon Therapeutics, Inc.","HARP","292.84"
"Haynes International, Inc.","HAYN","224.88"
"Hamilton Beach Brands Holding Company","HBB","105.12"
"Home Bancorp, Inc.","HBCP","185.43"
"HudBay Minerals Inc","HBM","363.17"
"Howard Bancorp, Inc.","HBMD","195.57"
"Horizon Bancorp (IN)","HBNC","357.72"
"Helix Biopharma Corp.","HBPCF","129.09"
"HBT Financial, Inc.","HBT","319.87"
"Health Catalyst, Inc.","HCAT","873.68"
"Warrior Met Coal Inc.","HCC","605.23"
"Heritage-Crystal Clean, Inc.","HCCI","321.29"
"Hochschild Mining PLC","HCHDF","595.34"
"HCI Group, Inc.","HCI","269.13"
"The Hackett Group, Inc.","HCKT","300.94"
"Henderson Investment Ltd.","HDVTY","255.98"
"H&E Equipment Services, Inc.","HEES","396.36"
"Hess Midstream Partners LP","HESM","483.97"
"HEXO Corp.","HEXO","185.39"
"HF FOODS GROUP INC.","HFFG","642.43"
"Heritage Financial Corporation","HFWA","701.93"
"KaloBios Pharmaceuticals Inc.","HGEN","131.45"
"HeadHunter Group PLC Sponsored ADR","HHR","731.5"
"Hibbett Sports, Inc.","HIBB","170.74"
"Hingham Institution for Savings","HIFS","341.28"
"Himax Technologies, Inc.","HIMX","433.81"
"Hong Kong Television Network Ltd.","HKTVY","450.86"
"Hecla Mining Company","HL","868.54"
"Heartland BancCorp.","HLAN","113.41"
"Halfords Group Plc","HLFDY","428.1"
"Hailiang Education Group Inc.","HLG","912.8"
"Harmonic Inc.","HLIT","473.71"
"Helix Energy Solutions Group, Inc.","HLX","233.94"
"Houghton Mifflin Harcourt Company","HMHC","263.86"
"Huami Corporation","HMI","796.77"
"Hoegh LNG Partners LP","HMLP","173.65"
"Hammerson PLC","HMSNF","846.37"
"HomeStreet, Inc.","HMST","472.3"
"Hemisphere Media Group, Inc.","HMTV","346.37"
"Hanger Inc.","HNGR","486.58"
"HNI Corporation","HNI","928.55"
"Hooker Furniture Corporation","HOFT","161"
"Hollysys Automation Technologies, Ltd.","HOLI","593.14"
"At Home Group Inc.","HOME","130.78"
"HarborOne Bancorp, Inc.","HONE","418.86"
"HOOKIPA Pharma Inc.","HOOK","177.89"
"Hope Bancorp, Inc.","HOPE","983.14"
"Tekla Healthcare Investors","HQH","652.9"
"Tekla Life Sciences Investors","HQL","284.68"
"Hurricane Energy PLC","HRCXF","298.53"
"Herc Holdings Inc.","HRI","395.38"
"Heritage Insurance Holdings, Inc.","HRTG","274.8"
"Horizon Technology Finance Corporation","HRZN","117.68"
"Harsco Corporation","HSC","493.16"
"Heidrick & Struggles International, Inc.","HSII","409.28"
"Heska Corporation","HSKA","468.58"
"HealthStream, Inc.","HSTM","672.21"
"Hersha Hospitality Trust","HT","121.09"
"HomeTrust Bancshares, Inc.","HTBI","218.94"
"Heritage Commerce Corp","HTBK","390.64"
"Hercules Capital, Inc.","HTGC","881.09"
"Hertz Global Holdings, Inc","HTZ","730.52"
"Hudson Ltd.","HUD","328.89"
"Huize Holding Limited Sponsored ADR","HUIZ","460.51"
"Hurco Companies, Inc.","HURC","159.74"
"Huron Consulting Group Inc.","HURN","899.46"
"Haverty Furniture Companies, Inc.","HVT","230.18"
"Haverty Furniture Companies, Inc.","HVT.A","221.26"
"Hawthorn Bancshares, Inc.","HWBK","118.86"
"Hawkins, Inc.","HWKN","358.23"
"Hyster-Yale Materials Handling, Inc.","HY","572.82"
"New America High Income Fund, Inc.","HYB","141.15"
"MarineMax, Inc.","HZO","186.03"
"Intelsat S.A.","I","290.8"
"Iamgold Corporation","IAG","940.59"
"Independent Bank Corporation","IBCP","252.72"
"icad inc.","ICAD","158.33"
"County Bancorp, Inc.","ICBK","102.49"
"Ichor Holdings, Ltd.","ICHR","361"
"iClick Interactive Asia Group Ltd.","ICLK","242.38"
"IDT Corporation","IDT","137.81"
"IES Holdings, Inc.","IESC","333.02"
"The India Fund, Inc.","IFN","344.38"
"iShares North American Natural Resources ETF","IGE","239.45"
"International Game Technology","IGT","927.12"
"Independence Holding Company","IHC","399.88"
"iHeartMedia, Inc.","IHRT","541.18"
"Morgan Stanley India Investment Fund, Inc.","IIF","168.99"
"Information Services Group, Inc.","III","106.72"
"Insteel Industries, Inc.","IIIN","218.03"
"i3 Verticals, Inc.","IIIV","397.37"
"Invesco Value Municipal Income Trust","IIM","587.26"
"iShares Latin America 40 ETF","ILF","779.31"
"Industrial Logistics Properties Trust","ILPT","926.86"
"I-Mab Sponsored ADR","IMAB","641.92"
"IMAX Corporation","IMAX","649.22"
"ImmunoGen, Inc.","IMGN","425.34"
"Ingles Markets, Incorporated","IMKTA","771.06"
"Immersion Corporation","IMMR","149.18"
"Chipmos Technologies Ltd.","IMOS","705.16"
"Immunovant, Inc.","IMVT","504.83"
"INTERNATIONAL MONEY EXPRESS, INC.","IMXI","304.27"
"First Internet Bancorp","INBK","128.77"
"Infinera Corporation","INFN","878.52"
"InfuSystems Holdings, Inc.","INFU","119.26"
"Inogen, Inc","INGN","881.36"
"InMode Ltd.","INMD","551.85"
"Summit Hotel Properties, Inc.","INN","353.38"
"Intelligent Systems Corporation","INS","249.63"
"Inseego Corp.","INSG","496.95"
"Insight Select Income Fund","INSI","174.04"
"International Seaways Inc.","INSW","510.39"
"INTL FCStone Inc.","INTL","606.47"
"Innoviva, Inc.","INVA","896.32"
"Indivior PLC","INVVY","439.03"
"Iochpe-Maxion SA","IOCJY","542.06"
"Adesto Technologies Corporation","IOTS","280.22"
"Innate Pharma SA","IPHYF","296.88"
"Intrepid Potash, Inc","IPI","129.23"
"Invesco Quality Municipal Income Trust","IQI","560.57"
"IRSA Propiedades Comerciales S.A.","IRCP","217.03"
"Investors Real Estate Trust","IRET","666.9"
"iRadimed Corporation","IRMD","191.67"
"IRSA Inversiones Y Representaciones S.A.","IRS","181.13"
"Independence Realty Trust, Inc.","IRT","798.33"
"IVERIC bio, Inc.","ISEE","149.06"
"Investar Holding Corporation","ISTR","126.93"
"Intra-Cellular Therapies Inc.","ITCI","749.26"
"Iteris, Inc.","ITI","111.31"
"Investors Title Company","ITIC","209.61"
"ITM POWER PLC","ITMPF","385.57"
"Intertape Polymer Group Inc.","ITPOF","352.88"
"Ituran Location and Control Ltd.","ITRN","312.87"
"Invacare Corporation","IVC","155.34"
"INVESCO MORTGAGE CAPITAL INC","IVR","917.16"
"iShares U.S. Energy ETF","IYE","230.52"
"Jack In The Box Inc.","JACK","533.41"
"John B. Sanfilippo & Son, Inc.","JBSS","856.81"
"Jernigan Capital, Inc.","JCAP","248.33"
"J. C. Penney Company, Inc.","JCP","143.74"
"J d Wetherspoon Plc","JDWPY","820.06"
"JELD-WEN Holding, Inc.","JELD","855.41"
"Aurora Mobile Limited Sponsored ADR","JG","251.8"
"Jungheinrich AG","JGHAF","818.1"
"John Hancock Income Securities Trust","JHS","137.9"
"JinkoSolar Holding Company Limited","JKS","586.25"
"Jumei International Holding Limited","JMEI","214.48"
"JUMIA TECH-ADR","JMIA","177.97"
"Jounce Therapeutics, Inc.","JNCE","132.45"
"St. Joe Company (The)","JOE","942.92"
"Japan Smaller Capitalization Fund, Inc.","JOF","172.27"
"Johnson Outdoors Inc.","JOUT","527.07"
"James River Group Holdings, Ltd.","JRVR","882.33"
"Jianpu Technology Inc.","JT","168.93"
"Jutal Offshore Oil Services Ltd.","JUTOY","139.09"
"The Joint Corp.","JYNT","120.5"
"Kadant Inc","KAI","702.91"
"Kala Pharmaceuticals, Inc.","KALA","270.01"
"Kaiser Aluminum Corporation","KALU","879.1"
"KalVista Pharmaceuticals, Inc.","KALV","122.25"
"Kaman Corporation","KAMN","924.26"
"Kimball International, Inc.","KBAL","323.86"
"Kansas City Life Insurance Co.","KCLI","261.44"
"Kadmon Holdings, Inc.","KDMN","480.89"
"Kimball Electronics, Inc.","KE","283.73"
"Kelly Services, Inc.","KELYA","487.79"
"Kelly Services, Inc.","KELYB","476.97"
"Kenon Holdings Ltd.","KEN","683.6"
"Kforce, Inc.","KFRC","556.47"
"OrthoPediatrics Corp.","KIDS","638.27"
"Kindred Biosciences, Inc.","KIN","143.41"
"Kaleido Biosciences, Inc.","KLDO","178.27"
"KLM Royal Dutch Airlines","KLMR","701.68"
"GigCapital, Inc.","KLR","124.86"
"Kamada Ltd.","KMDA","238.63"
"Kandi Technologies Group, Inc.","KNDI","124.65"
"Knoll, Inc.","KNL","447.74"
"KNOT Offshore Partners LP","KNOP","309.94"
"Kiniksa Pharmaceuticals, Ltd.","KNSA","727.64"
"Koppers Holdings Inc.","KOP","197.65"
"Kosmos Energy Ltd.","KOS","246.5"
"Kraton Corporation","KRA","192.09"
"KKR Real Estate Finance Trust Inc.","KREF","571.42"
"Kite Realty Group Trust","KRG","808.33"
"36Kr Holdings Inc. Sponsored ADR","KRKR","157.47"
"Repro-Med Systems Inc.","KRMD","257.17"
"Kornit Digital Ltd.","KRNT","982.21"
"Kearny Financial","KRNY","729.16"
"Kronos Worldwide Inc","KRO","948.35"
"KIMBELL ROYALTY","KRP","227.66"
"Krystal Biotech, Inc.","KRYS","674.01"
"DWS Strategic Municipal Income Trust","KSM","103.64"
"DWS Municipal Income Trust","KTF","377.63"
"Kentucky Bancshares Inc.","KTYB","103.55"
"Kuka AG Unsponsored ADR","KUKAY","946.65"
"Kura Oncology, Inc.","KURA","349.8"
"KVH Industries, Inc.","KVHI","157.2"
"Kezar Life Sciences, Inc.","KZR","140.32"
"Lithium Americas Corp.","LAC","192.26"
"Ladder Capital Corp","LADR","545.6"
"LAIX Inc. Sponsored ADR","LAIX","152.37"
"Lakeland Industries, Inc.","LAKE","132.27"
"Gladstone Land Corporation","LAND","224.35"
"nLight Inc.","LASR","385.16"
